Wavelength[nm]	Reflectance[%]
250	0.9789
251	0.9792
252	0.9809
253	0.9792
254	0.9796
255	0.9807
256	0.9801
257	0.9806
258	0.9808
259	0.9810
260	0.9805
261	0.9814
262	0.9817
263	0.9816
264	0.9824
265	0.9827
266	0.9830
267	0.9832
268	0.9839
269	0.9847
270	0.9841
271	0.9838
272	0.9838
273	0.9840
274	0.9843
275	0.9847
276	0.9857
277	0.9855
278	0.9860
279	0.9870
280	0.9877
281	0.9867
282	0.9881
283	0.9880
284	0.9880
285	0.9887
286	0.9891
287	0.9888
288	0.9898
289	0.9899
290	0.9892
291	0.9895
292	0.9897
293	0.9908
294	0.9910
295	0.9904
296	0.9911
297	0.9901
298	0.9906
299	0.9924
300	0.9923
301	0.9923
302	0.9918
303	0.9919
304	0.9920
305	0.9916
306	0.9929
307	0.9923
308	0.9913
309	0.9924
310	0.9922
311	0.9913
312	0.9919
313	0.9930
314	0.9937
315	0.9934
316	0.9928
317	0.9930
318	0.9932
319	0.9915
320	0.9903
321	0.9914
322	0.9919
323	0.9909
324	0.9922
325	0.9929
326	0.9911
327	0.9919
328	0.9922
329	0.9907
330	0.9911
331	0.9934
332	0.9943
333	0.9927
334	0.9915
335	0.9922
336	0.9928
337	0.9925
338	0.9928
339	0.9953
340	0.9953
341	0.9933
342	0.9933
343	0.9926
344	0.9931
345	0.9950
346	0.9941
347	0.9934
348	0.9951
349	0.9955
350	0.9935
351	0.9931
352	0.9928
353	0.9929
354	0.9918
355	0.9935
356	0.9941
357	0.9928
358	0.9918
359	0.9932
360	0.9923
361	0.9923
362	0.9924
363	0.9923
364	0.9926
365	0.9916
366	0.9914
367	0.9906
368	0.9910
369	0.9923
370	0.9918
371	0.9929
372	0.9928
373	0.9909
374	0.9910
375	0.9900
376	0.9890
377	0.9923
378	0.9906
379	0.9910
380	0.9910
381	0.9908
382	0.9911
383	0.9915
384	0.9919
385	0.9916
386	0.9913
387	0.9910
388	0.9915
389	0.9922
390	0.9914
391	0.9915
392	0.9918
393	0.9915
394	0.9921
395	0.9922
396	0.9920
397	0.9921
398	0.9926
399	0.9918
400	0.9917
401	0.9917
402	0.9922
403	0.9922
404	0.9920
405	0.9922
406	0.9923
407	0.9923
408	0.9924
409	0.9922
410	0.9923
411	0.9924
412	0.9923
413	0.9924
414	0.9924
415	0.9923
416	0.9922
417	0.9921
418	0.9922
419	0.9925
420	0.9924
421	0.9925
422	0.9926
423	0.9920
424	0.9923
425	0.9924
426	0.9925
427	0.9922
428	0.9920
429	0.9923
430	0.9925
431	0.9923
432	0.9920
433	0.9927
434	0.9923
435	0.9918
436	0.9923
437	0.9923
438	0.9919
439	0.9924
440	0.9920
441	0.9918
442	0.9923
443	0.9924
444	0.9921
445	0.9924
446	0.9923
447	0.9918
448	0.9926
449	0.9919
450	0.9924
451	0.9920
452	0.9918
453	0.9923
454	0.9920
455	0.9920
456	0.9923
457	0.9921
458	0.9926
459	0.9921
460	0.9925
461	0.9923
462	0.9924
463	0.9923
464	0.9924
465	0.9922
466	0.9921
467	0.9923
468	0.9925
469	0.9922
470	0.9924
471	0.9922
472	0.9922
473	0.9925
474	0.9922
475	0.9922
476	0.9922
477	0.9924
478	0.9920
479	0.9922
480	0.9928
481	0.9926
482	0.9923
483	0.9926
484	0.9927
485	0.9929
486	0.9928
487	0.9931
488	0.9931
489	0.9928
490	0.9928
491	0.9929
492	0.9928
493	0.9927
494	0.9928
495	0.9932
496	0.9927
497	0.9928
498	0.9929
499	0.9929
500	0.9930
501	0.9928
502	0.9926
503	0.9926
504	0.9931
505	0.9931
506	0.9930
507	0.9928
508	0.9929
509	0.9928
510	0.9928
511	0.9930
512	0.9926
513	0.9926
514	0.9928
515	0.9929
516	0.9928
517	0.9927
518	0.9931
519	0.9931
520	0.9928
521	0.9927
522	0.9929
523	0.9927
524	0.9925
525	0.9925
526	0.9926
527	0.9925
528	0.9927
529	0.9925
530	0.9924
531	0.9926
532	0.9925
533	0.9925
534	0.9924
535	0.9923
536	0.9923
537	0.9924
538	0.9926
539	0.9928
540	0.9927
541	0.9927
542	0.9926
543	0.9924
544	0.9923
545	0.9923
546	0.9924
547	0.9925
548	0.9923
549	0.9925
550	0.9926
551	0.9927
552	0.9927
553	0.9925
554	0.9924
555	0.9925
556	0.9926
557	0.9927
558	0.9927
559	0.9926
560	0.9927
561	0.9928
562	0.9927
563	0.9926
564	0.9927
565	0.9925
566	0.9924
567	0.9925
568	0.9925
569	0.9924
570	0.9925
571	0.9926
572	0.9927
573	0.9928
574	0.9928
575	0.9929
576	0.9930
577	0.9929
578	0.9927
579	0.9928
580	0.9927
581	0.9928
582	0.9928
583	0.9927
584	0.9928
585	0.9928
586	0.9926
587	0.9926
588	0.9925
589	0.9925
590	0.9924
591	0.9925
592	0.9927
593	0.9927
594	0.9927
595	0.9927
596	0.9928
597	0.9929
598	0.9928
599	0.9925
600	0.9925
601	0.9926
602	0.9927
603	0.9926
604	0.9925
605	0.9927
606	0.9927
607	0.9928
608	0.9927
609	0.9927
610	0.9926
611	0.9925
612	0.9926
613	0.9926
614	0.9927
615	0.9925
616	0.9925
617	0.9926
618	0.9927
619	0.9928
620	0.9926
621	0.9925
622	0.9926
623	0.9924
624	0.9924
625	0.9923
626	0.9925
627	0.9928
628	0.9926
629	0.9926
630	0.9923
631	0.9923
632	0.9926
633	0.9924
634	0.9926
635	0.9926
636	0.9927
637	0.9925
638	0.9927
639	0.9923
640	0.9922
641	0.9924
642	0.9922
643	0.9924
644	0.9924
645	0.9923
646	0.9924
647	0.9923
648	0.9923
649	0.9923
650	0.9921
651	0.9920
652	0.9923
653	0.9923
654	0.9920
655	0.9924
656	0.9923
657	0.9924
658	0.9926
659	0.9924
660	0.9925
661	0.9924
662	0.9924
663	0.9925
664	0.9921
665	0.9921
666	0.9924
667	0.9927
668	0.9922
669	0.9924
670	0.9919
671	0.9922
672	0.9922
673	0.9923
674	0.9921
675	0.9923
676	0.9916
677	0.9922
678	0.9922
679	0.9918
680	0.9921
681	0.9917
682	0.9921
683	0.9920
684	0.9919
685	0.9923
686	0.9917
687	0.9922
688	0.9920
689	0.9923
690	0.9918
691	0.9917
692	0.9918
693	0.9914
694	0.9916
695	0.9917
696	0.9915
697	0.9915
698	0.9914
699	0.9912
700	0.9917
701	0.9914
702	0.9913
703	0.9914
704	0.9915
705	0.9911
706	0.9915
707	0.9915
708	0.9916
709	0.9913
710	0.9911
711	0.9914
712	0.9910
713	0.9917
714	0.9918
715	0.9911
716	0.9911
717	0.9913
718	0.9913
719	0.9913
720	0.9911
721	0.9911
722	0.9916
723	0.9914
724	0.9909
725	0.9912
726	0.9913
727	0.9917
728	0.9908
729	0.9910
730	0.9909
731	0.9908
732	0.9910
733	0.9908
734	0.9911
735	0.9910
736	0.9909
737	0.9907
738	0.9910
739	0.9906
740	0.9909
741	0.9911
742	0.9908
743	0.9916
744	0.9912
745	0.9908
746	0.9909
747	0.9910
748	0.9911
749	0.9909
750	0.9906
751	0.9907
752	0.9910
753	0.9908
754	0.9909
755	0.9911
756	0.9908
757	0.9911
758	0.9910
759	0.9910
760	0.9907
761	0.9909
762	0.9910
763	0.9906
764	0.9908
765	0.9907
766	0.9909
767	0.9912
768	0.9911
769	0.9910
770	0.9909
771	0.9907
772	0.9905
773	0.9907
774	0.9908
775	0.9912
776	0.9913
777	0.9911
778	0.9914
779	0.9913
780	0.9908
781	0.9910
782	0.9910
783	0.9909
784	0.9908
785	0.9904
786	0.9903
787	0.9905
788	0.9905
789	0.9908
790	0.9902
791	0.9899
792	0.9906
793	0.9905
794	0.9906
795	0.9910
796	0.9912
797	0.9913
798	0.9909
799	0.9907
800	0.9907
801	0.9907
802	0.9908
803	0.9911
804	0.9911
805	0.9909
806	0.9909
807	0.9910
808	0.9908
809	0.9908
810	0.9911
811	0.9913
812	0.9907
813	0.9902
814	0.9904
815	0.9909
816	0.9908
817	0.9906
818	0.9905
819	0.9904
820	0.9908
821	0.9910
822	0.9906
823	0.9902
824	0.9907
825	0.9910
826	0.9911
827	0.9910
828	0.9910
829	0.9908
830	0.9910
831	0.9907
832	0.9911
833	0.9904
834	0.9904
835	0.9912
836	0.9910
837	0.9913
838	0.9907
839	0.9907
840	0.9911
841	0.9904
842	0.9910
843	0.9907
844	0.9912
845	0.9906
846	0.9900
847	0.9905
848	0.9897
849	0.9901
850	0.9906
851	0.9906
852	0.9905
853	0.9904
854	0.9917
855	0.9905
856	0.9884
857	0.9895
858	0.9896
859	0.9902
860	0.9907
861	0.9909
862	0.9908
863	0.9908
864	0.9908
865	0.9908
866	0.9909
867	0.9908
868	0.9907
869	0.9906
870	0.9908
871	0.9909
872	0.9909
873	0.9909
874	0.9909
875	0.9910
876	0.9910
877	0.9910
878	0.9910
879	0.9908
880	0.9907
881	0.9905
882	0.9906
883	0.9908
884	0.9907
885	0.9905
886	0.9906
887	0.9907
888	0.9907
889	0.9907
890	0.9907
891	0.9906
892	0.9907
893	0.9907
894	0.9908
895	0.9908
896	0.9907
897	0.9907
898	0.9906
899	0.9905
900	0.9907
901	0.9907
902	0.9905
903	0.9905
904	0.9905
905	0.9906
906	0.9906
907	0.9908
908	0.9908
909	0.9907
910	0.9908
911	0.9908
912	0.9908
913	0.9905
914	0.9905
915	0.9906
916	0.9906
917	0.9906
918	0.9906
919	0.9905
920	0.9906
921	0.9906
922	0.9906
923	0.9908
924	0.9907
925	0.9907
926	0.9907
927	0.9907
928	0.9905
929	0.9905
930	0.9906
931	0.9907
932	0.9906
933	0.9905
934	0.9905
935	0.9906
936	0.9905
937	0.9906
938	0.9907
939	0.9905
940	0.9905
941	0.9907
942	0.9906
943	0.9904
944	0.9904
945	0.9905
946	0.9906
947	0.9906
948	0.9906
949	0.9907
950	0.9905
951	0.9905
952	0.9905
953	0.9906
954	0.9906
955	0.9904
956	0.9903
957	0.9905
958	0.9905
959	0.9906
960	0.9905
961	0.9906
962	0.9906
963	0.9906
964	0.9906
965	0.9905
966	0.9905
967	0.9906
968	0.9906
969	0.9905
970	0.9904
971	0.9905
972	0.9907
973	0.9906
974	0.9906
975	0.9906
976	0.9906
977	0.9905
978	0.9905
979	0.9905
980	0.9906
981	0.9905
982	0.9905
983	0.9904
984	0.9904
985	0.9905
986	0.9905
987	0.9906
988	0.9906
989	0.9905
990	0.9904
991	0.9903
992	0.9904
993	0.9904
994	0.9904
995	0.9904
996	0.9905
997	0.9904
998	0.9905
999	0.9905
1000	0.9905
1001	0.9905
1002	0.9904
