Name,Polygon_Unit_ID,Sampling_Unit,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Lat,Long,Date,Time,Scale,source,photo,brightness
DTR_26_X3641_Y130,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464963,-119.63478,2011_07_2687,2143,7_5m,AVIRIS_r22,na,1002.44
DTR_23_X3521_Y66,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469553,-119.64439,2011_07_1623,2143,7_5m,AVIRIS_r22,na,1003.08
DTR_17_X3429_Y14,DTR_17,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.47327,-119.65175,2011_07_24,2143,7_5m,AVIRIS_r22,na,1005
DTR_23_X3512_Y62,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469843,-119.64512,2011_07_1556,2143,7_5m,AVIRIS_r22,na,1007.13
DTR_22_X3562_Y61,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469799,-119.64104,2011_07_1394,2143,7_5m,AVIRIS_r22,na,1014.92
DTR_26_X3655_Y120,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465606,-119.63361,2011_07_2446,2143,7_5m,AVIRIS_r22,na,1016.8
DTR_26_X3644_Y124,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465361,-119.63452,2011_07_2532,2143,7_5m,AVIRIS_r22,na,1020.56
DTR_22_X3561_Y60,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469869,-119.64111,2011_07_1378,2143,7_5m,AVIRIS_r22,na,1021.38
DTR_18_X3541_Y33,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471736,-119.64267,2011_07_484,2143,7_5m,AVIRIS_r22,na,1029.08
DTR_18_X3543_Y37,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471462,-119.64252,2011_07_560,2143,7_5m,AVIRIS_r22,na,1031.12
DTR_18_X3549_Y33,DTR_18,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471718,-119.64202,2011_07_492,2143,7_5m,AVIRIS_r22,na,1040.43
DTR_19_X3567_Y30,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471881,-119.64054,2011_07_676,2143,7_5m,AVIRIS_r22,na,1044.18
DTR_26_X3638_Y132,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464834,-119.63503,2011_07_2726,2143,7_5m,AVIRIS_r22,na,1053.67
DTR_21_X3561_Y25,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472232,-119.64102,2011_07_319,2143,7_5m,AVIRIS_r22,na,1056.77
DTR_19_X3574_Y32,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.47173,-119.63998,2011_07_730,2143,7_5m,AVIRIS_r22,na,1058.61
DTR_23_X3519_Y65,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469625,-119.64455,2011_07_1605,2143,7_5m,AVIRIS_r22,na,1061.01
DTR_22_X3564_Y70,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469184,-119.64082,2011_07_1517,2143,7_5m,AVIRIS_r22,na,1061.71
DTR_15_X4044_Y114,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465133,-119.60189,2011_07_4268,2143,7_5m,AVIRIS_r22,na,1068.47
DTR_26_X3649_Y123,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465417,-119.63411,2011_07_2512,2143,7_5m,AVIRIS_r22,na,1070.21
DTR_15_X4050_Y124,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464444,-119.60142,2011_07_4329,2143,7_5m,AVIRIS_r22,na,1072.4
DTR_28_X3626_Y162,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462836,-119.63609,2011_07_2904,2143,7_5m,AVIRIS_r22,na,1075.18
DTR_19_X3569_Y39,DTR_19,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.471269,-119.64041,2011_07_898,2143,7_5m,AVIRIS_r22,na,1080.58
DTR_28_X3627_Y163,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462766,-119.63601,2011_07_2923,2143,7_5m,AVIRIS_r22,na,1081.04
DTR_21_X3555_Y23,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.47238,-119.6415,2011_07_292,2143,7_5m,AVIRIS_r22,na,1088
DTR_25_X3548_Y101,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.467129,-119.64229,2011_07_1812,2143,7_5m,AVIRIS_r22,na,1096.54
